sku,Vendor SKU,Vendor,Vendor Description,Category,Category Description,Description,StyleColor,SizeType
ADYHA00058-KVJ0,,DC,DC,962,BRANDED ADJUST. CAPS,SNAPPY,KVJ0,0
ADYHA00058-RSS0,,DC,DC,962,BRANDED ADJUST. CAPS,SNAPPY HAT,RSS0,0
ADYHA00058-RSZ0,,DC,DC,962,BRANDED ADJUST. CAPS,SNAPPY,RSZ0,0
ADYHA00058-SLE0,,DC,DC,962,BRANDED ADJUST. CAPS,SNAPPY,SLE0,0
ADYHA00058-XBBY,,DC,DC,962,BRANDED ADJUST. CAPS,SNAPPY,XBBY,0
ADYHA00058-XCCN,,DC,DC,962,BRANDED ADJUST. CAPS,SNAPPY,XCCN,0
ADYHA00058-XKKR,,DC,DC,962,BRANDED ADJUST. CAPS,SNAPPY HAT,XKKR,0
ADYHA00058-XKKY,,DC,DC,962,BRANDED ADJUST. CAPS,SNAPPY,XKKY,0
ADYHA00072-BTL0,,DC,DC,963,BRANDED FITTED CAPS ,SPLT STR HAT,BTL0,0
ADYHA00073,,DC,DC,963,BRANDED FITTED CAPS ,RM STARS HAT,XKKW,0
ADYHA00076,,DC,DC,963,BRANDED FITTED CAPS ,TC LONERDR HAT,KVJ0,0
ADYHA00078-KVJ0,,DC,DC,963,BRANDED FITTED CAPS ,RD BAR HAT,KVJ0,0
ADYHA00078-WBN0,,DC,DC,963,BRANDED FITTED CAPS ,RD BAR HAT,WBN0,0
ADYHA00079-KVJ0,,DC,DC,999,Beanies,RD DCUSA BAR,KVJ0,0
ADYHA00080-KRP0,,DC,DC,963,BRANDED FITTED CAPS ,RD HIGHLIGHT HAT,KRP0,0
ADYHA00095-BLK,,DC,DC,999,Beanies,BROMONT 14,BLK,0
ADYHA00095-BPJ0,,DC,DC,999,Beanies,BROMONT 14,BPJ0,0
ADYHA00095-KPW0,,DC,DC,999,Beanies,BROMONT 14,KPW0,0
ADYHA00095-NLC0,,DC,DC,999,Beanies,BROMONT 14,NLC0,0
ADYHA00096-BLK,,DC,DC,999,Beanies,CASCATA 14,BLK,0
ADYHA00096-KPW0,,DC,DC,999,Beanies,CASCATA 14,KPW0,0
ADYHA00096-RQQ0,,DC,DC,999,Beanies,CASCATA 14,RQQ0,0
ADYHA00098-BLK,,DC,DC,999,Beanies,DEVIN 14,BLK,0
ADYHA00098-GGP0,,DC,DC,999,Beanies,DEVIN 14,GGP0,0
ADYHA000-BCB,,DC,DC,963,BRANDED FITTED CAPS ,THROWBACK 2,BCB,0
ADYHA000-BGY,,DC,DC,963,BRANDED FITTED CAPS ,THROWBACK 2,BGY,0
ADYHA00106-BLK,,DC,DC,999,Beanies,WANE 14,BLK,0
ADYHA00106-BTK0,,DC,DC,999,Beanies,WANE 14,BTK0,0
ADYHA00106-KPW0,,DC,DC,999,Beanies,WANE 14,KPW0,0
ADYHA00106-NLC0,,DC,DC,999,Beanies,WANE 14,NLC0,0
ADYHA00106-RQQ0,,DC,DC,999,Beanies,WANE 14,RQQ0,0
ADYHA00107-BLK,,DC,DC,999,Beanies,YEPA 14,BLK,0
ADYHA00107-GGP0,,DC,DC,999,Beanies,YEPA 14,GGP0,0
ADYHA00107-KPW0,,DC,DC,999,Beanies,YEPA 14,KPW0,0
ADYHA00107-NLC0,,DC,DC,999,Beanies,YEPA 14,NLC0,0
ADYHA00107-RQQ0,,DC,DC,999,Beanies,YEPA 14,RQQ0,0
ADYHA00107-RSD0,,DC,DC,999,Beanies,YEPA 14,RSD0,0
ADYHA00126-RQR0,,DC,DC,962,BRANDED ADJUST. CAPS,DAXSTAR,RQR0,0
ADYHA00136-KVJ0,,DC,DC,962,BRANDED ADJUST. CAPS,SIDEBENT,KVJ0,0
ADYHA00141-KTE8,,DC,DC,963,BRANDED FITTED CAPS ,YA HEARD,BLK,43
ADYHA00141-TEA,,DC,DC,963,BRANDED FITTED CAPS ,YA HEARD,TEAL,43
ADYHA00141-WBN0,,DC,DC,963,BRANDED FITTED CAPS ,YA HEARD,WBN0,43
ADYHA00141-XBBS,,DC,DC,962,BRANDED ADJUST. CAPS,YA HEARD,XBBS,43
ADYHA00141-XKKB,,DC,DC,963,BRANDED FITTED CAPS ,YA HEARD,KXXB,43
ADYHA00141-XKKG,,DC,DC,963,BRANDED FITTED CAPS ,YA HEARD,KXXG,43
ADYHA00141-XKKW,,DC,DC,963,BRANDED FITTED CAPS ,YA HEARD,XKKW,43
ADYHA00175-GQK6,,DC,DC,962,BRANDED ADJUST. CAPS,RD TIGER SNAP,GQK6,0
ADYHA00175-KVJ0,,DC,DC,962,BRANDED ADJUST. CAPS,RD TIGER SNAP,KVJ0,0
ADYHA00222-KVJ0,,DC,DC,962,BRANDED ADJUST. CAPS,TP WINNER SNAP,KVJ0,0
ADYHA00240-BTG0,,DC,DC,962,BRANDED ADJUST. CAPS,BUZZCUT,BTG0,0
ADYHA00277-BNS0,,DC,DC,962,BRANDED ADJUST. CAPS,DOUBLE UP,BNS0,0
ADYHA00277-BPD0,,DC,DC,962,BRANDED ADJUST. CAPS,DOUBLE UP,BPD0,0
ADYHA00277-BPY0,,DC,DC,962,BRANDED ADJUST. CAPS,DOUBLE UP,BPY0,0
ADYHA00277-KVJ0,,DC,DC,962,BRANDED ADJUST. CAPS,DOUBLE UP,KVJ0,0
ADYHA03054-KVJ0,,DC,DC,962,BRANDED ADJUST. CAPS,BONECHILLER GIF,KVJ0,0
ADYHA03063-SLE2,,DC,DC,963,BRANDED FITTED CAPS ,CAP STAR TX,SLE2,43
ADYHA03068-BTN3,,DC,DC,963,BRANDED FITTED CAPS ,AIRHEAD BUCKET,BTN3,43
ADYHA03099-BMD0,,DC,DC,962,BRANDED ADJUST. CAPS,RD ICON SNAP,BMD0,0
ADYHA03099-KVJ0,,DC,DC,962,BRANDED ADJUST. CAPS,RD ICON SNAP,KVJ0,0
ADYHA03116-KVJ1,,DC,DC,963,BRANDED FITTED CAPS ,POCKY BUCKET,KVJ1,43
ADYHA03116-YJE1,,DC,DC,963,BRANDED FITTED CAPS ,POCKY BUCKET,YJE1,43
ADYHA03144-KVJ0,,DC,DC,962,BRANDED ADJUST. CAPS,TRIANGLE,KVJ0,0
ADYHA03144-RSZ0,,DC,DC,962,BRANDED ADJUST. CAPS,TRIANGLE,RSZ0,0
ADYHA03172-GRA1,,DC,DC,963,BRANDED FITTED CAPS ,EVERGLADE BUCKET,GRA1,43
ADYHA03178-KVJ0,,DC,DC,962,BRANDED ADJUST. CAPS,RD MCMXCV,KVJ0,0
ADYHA03208-KVJ0,,DC,DC,962,BRANDED ADJUST. CAPS,WOODBROOK CAP ,KVJ0,0
ADYHA03220-KVJ0,,DC,DC,962,BRANDED ADJUST. CAPS,RD DOWNDOWN ,KVJ0,0
ADYHA03221-KNFH,,DC,DC,999,Beanies,RD ALUMNI BEANIE,KNFH,0
ADYHA03251-BTL2,,DC,DC,963,BRANDED FITTED CAPS ,FLAGSTILL BUCKET,BTL2,43
ADYHA03251-GZJ1,,DC,DC,963,BRANDED FITTED CAPS ,FLAGSTILL BUCKET,GZJ1,43
ADYHA03275-KVJ0,,DC,DC,962,BRANDED ADJUST. CAPS,FOREGORE,KVJ0,0
